Wafer ID,FAMILY_CODE,8_24C_Yield,22_24C_Yield,DI51_C5_M7125P125A_ST_A102_4M_Perfect,SailSM_K2_AllChains_1p25vFM_Perfect,SailSM_K2_AllChains_0p5vFM_LY,fin_res,fin_res_metric2,WETSTRIPSWPCP.1 Process Tool,PC DC10,WETSWSTRIPCTP.1 Process Tool,CT DC10,DC10
6A06F182SOF3,9S,0,0,94.4400024,94.8700027,64.8600006,N,0,DC10,1,DC09,0,1
6A05Y189SOC3,US,0.09,0,69.4400024,,,N,0,DC09,0,DC11,0,0
6A062050SOG2,US,0.09,0,80.5500031,,,M,2.5,DC10,1,DC11,0,1
6A067199SOE4,9S,0.09,0.02,86.1100006,,,N,0,DC09,0,DC09,0,0
6A064173SOF6,US,0.09,0.02,77.7699966,94.8700027,94.5899963,M,5,DC09,0,DC10,1,1
6A05S023SOA1,US,0.09,0.02,72.2200012,69.2300034,100,N,0,DC10,1,DC09,0,1
6A05R212SOE0,9S,0.09,0.02,91.6600037,94.8700027,100,N,0,DC11,0,DC11,0,0
6560090FSEG1,US,0.09,0.02,86.1100006,94.8700027,97.2900009,N,0,DC10,1,DC09,0,1
65600A38SEE6,9S,0.09,0.02,88.8799973,87.1699982,97.0500031,N,0,DC11,0,DC10,1,1
6A05U302SOH1,US,0.09,0.02,77.7699966,87.1699982,100,M,12.5,DC11,0,DC09,0,0
6A060022SOA4,US,0.09,0.03,97.2200012,,,N,0,DC09,0,DC09,0,0
6A05L099SOC7,US,0.09,0.03,88.8799973,87.1699982,82.3499985,N,0,DC11,0,DC10,1,1
6570050MSEE3,9S,0.09,0.03,83.3300018,,,N,0,DC09,0,DC10,1,1
6A060084SOG4,US,0.09,0.05,80.5500031,,,M,3,DC09,0,DC11,0,0
6A06C290SOG6,9S,0.11,0,88.8799973,,,N,0,DC09,0,DC10,1,1
6A06E171SOD5,US,0.11,0,88.8799973,,,N,0,DC09,0,DC10,1,1
6A064126SOD3,US,0.11,0,88.8799973,92.3000031,100,N,0,DC09,0,DC10,1,1
6A064161SOA1,US,0.11,0,75,79.4800034,100,M,3.6,DC09,0,DC10,1,1
6A05Y186SOE3,US,0.11,0,69.4400024,89.7399979,97.1399994,M,6,DC09,0,DC11,0,0
6A05Y287SOA3,US,0.11,0,80.5500031,,,N,0,DC11,0,DC09,0,0
65600A4RSEB6,US,0.11,0,91.6600037,97.4300003,100,N,0,DC11,0,DC09,0,0
6A064058SOE1,US,0.11,0.02,83.3300018,92.3000031,100,N,0,DC09,0,DC10,1,1
65506V8XSEF1,US,0.11,0.02,97.2200012,,,N,0,DC09,0,DC10,1,1
656008BFSEG7,US,0.11,0.02,83.3300018,,,M,12,DC09,0,DC09,0,0
6A064174SOC5,US,0.11,0.02,86.1100006,82.0500031,100,M,5,DC09,0,DC10,1,1
6A064162SOE3,US,0.11,0.02,83.3300018,89.7399979,100,N,0,DC09,0,DC10,1,1
6A06F143SOG3,9S,0.11,0.02,80.5500031,,,M,3,DC11,0,DC11,0,0
6A06A327SOD3,US,0.11,0.02,94.4400024,89.7399979,100,N,0,DC09,0,DC10,1,1
6A05Y185SOA1,US,0.11,0.02,86.1100006,97.4300003,94.7300034,N,0,DC11,0,DC09,0,0
6A064289SOF3,US,0.11,0.03,69.4400024,74.3499985,93.0999985,N,1,DC11,0,DC11,0,0
6A05Y290SOE5,US,0.11,0.03,88.8799973,87.1699982,97.0500031,N,0,DC09,0,DC09,0,0
6A05U257SOA1,US,0.11,0.03,83.3300018,92.3000031,100,M,3.33333333,DC09,0,DC11,0,0
6A05Z172SOF3,US,0.11,0.03,86.1100006,,,N,0,DC09,0,DC11,0,0
6A03U232SOA6,US,0.11,0.03,83.3300018,94.8700027,100,N,1,DC11,0,DC10,1,1
6A060121SOC6,US,0.11,0.05,97.2200012,,,N,0,DC09,0,DC09,0,0
6A05V294SOF6,US,0.11,0.05,94.4400024,,,N,0,DC09,0,DC09,0,0
6A05Z262SOA0,US,0.11,0.06,80.5500031,,,M,3.5,DC11,0,DC09,0,0
6A065132SOG0,9S,0.13,0,91.6600037,87.1699982,100,N,0,DC09,0,DC10,1,1
6A04Y121SOE6,US,0.13,0,83.3300018,,,M,3.5,DC10,1,DC10,1,1
6A05Y120SOD4,9S,0.13,0,83.3300018,84.6100006,100,M,3,DC09,0,DC11,0,0
6A05Z303SOF7,US,0.13,0,91.6600037,82.0500031,96.8700027,N,0,DC09,0,DC10,1,1
6A05Q114SOF5,9S,0.13,0,88.8799973,,,M,5,DC10,1,DC09,0,1
6A05U255SOG3,US,0.13,0,77.7699966,92.3000031,100,M,5,DC11,0,DC09,0,0
656008B8SEG3,US,0.13,0.02,86.1100006,94.8700027,91.8899994,N,0,DC09,0,DC09,0,0
6A067044SOF7,9S,0.13,0.02,75,92.3000031,97.2200012,N,1.25,DC09,0,DC10,1,1
6560090JSEB0,US,0.13,0.02,91.6600037,89.7399979,100,N,0,DC10,1,DC09,0,1
6560093FSEE7,US,0.13,0.02,86.1100006,,,N,0,DC10,1,DC09,0,1
6A05U140SOD5,US,0.13,0.02,77.7699966,,,M,4.8,DC09,0,DC10,1,1
6A061151SOB7,US,0.13,0.02,97.2200012,84.6100006,100,N,0,DC10,1,DC11,0,1
6A05L295SOG2,US,0.13,0.03,86.1100006,87.1699982,97.0500031,N,0,DC11,0,DC09,0,0
6A060016SOF5,US,0.13,0.03,91.6600037,79.4800034,96.7699966,N,0,DC09,0,DC11,0,0
6A05U119SOG2,US,0.13,0.03,91.6600037,94.8700027,100,N,0,DC09,0,DC11,0,0
6A05U134SOB3,US,0.13,0.03,94.4400024,100,100,N,0,DC09,0,DC10,1,1
6A05U085SOG7,US,0.13,0.03,66.6600037,82.0500031,96.8700027,M,5.5,DC09,0,DC11,0,0
6A05U148SOA6,US,0.13,0.03,86.1100006,,,N,0,DC09,0,DC11,0,0
65600A3JSEA1,9S,0.13,0.03,88.8799973,,,N,0,DC11,0,DC10,1,1
65600A7ISEG4,US,0.13,0.03,80.5500031,,,M,4,DC11,0,DC09,0,0
6A064299SOC4,US,0.13,0.05,94.4400024,79.4800034,93.5400009,N,0,DC11,0,DC11,0,0
6A069244SOE7,US,0.13,0.05,72.2200012,74.3499985,100,M,11.5555556,DC11,0,DC10,1,1
