parameter,lot_id,date,Owner
DLW_N_EGV_100_180_DDB_4_Vtlin_M1,A29TW,4/8/22,Device
DLW_N_EGV_100_180_DDB_4_Vtsat@1.5V_M1,A29TW,4/8/22,Device
DLW_N_EG_150_230_DDB_4_Ilow@1.8V_M1,A2AFR,4/8/22,Device
DLW_N_EG_150_230_DDB_4_Ioffs@1.8V_M1,A2AFR,4/8/22,Device
DLW_N_EG_150_230_DDB_4_Vta@0.9V_M1,A2AFR,4/8/22,Device
DLW_N_EG_150_230_DDB_4_Vtlin_M1,A2AFR,4/8/22,Device
DLW_N_EG_150_230_DDB_4_Vtsat@1.8V_M1,A2AFR,4/8/22,Device
DLW_N_EG_200_280_DDB_4_Ilow@1.8V_M1,A2AFR,4/8/22,Device
DLW_N_EG_200_280_DDB_4_Vta@0.9V_M1,A29TW,4/8/22,Device
DLW_N_EG_200_280_DDB_4_Vtsat@1.8V_M1,A29TW,4/8/22,Device
,,,
egncap_0.15_Cgd@Vgd=0V_1M_M1,A29TW,4/8/22,Device
,,,
P032_bit_PD_L_Vtsat_M1,A29TY,4/8/22,SRAM
P032_bit_PG_L_Vtsat_M1,A29TY,4/8/22,SRAM
P032_bit_PG_R_Vtsat_M1,A2AFT,4/8/22,SRAM
P032_bit_PD_L_Vtlin_M1,A29TY,4/8/22,SRAM
P032_bit_PD_R_Vtlin_M1,A2AFT,4/8/22,SRAM
P032_bit_PG_L_Vtlin_M1,A29TY,4/8/22,SRAM
P032_bit_PG_R_Vtlin_M1,A2AFT,4/8/22,SRAM
P032_FET_PD_Vtsat_M1,A2AFT,4/8/22,SRAM
P032_FET_PG_Vtsat_M1,A2AFT,4/8/22,SRAM
P032_FET_PD_Vtlin_M1,A2AFT,4/8/22,SRAM
P032_FET_PG_Vtlin_M1,A2AFT,4/8/22,SRAM
P032_IREAD_L_M1,A29TY,4/8/22,SRAM
P032_IREAD_R_M1,A2AFT,4/8/22,SRAM
P032_SNM_M1,A29TY,4/8/22,SRAM
PL032S_bit_PD_L_Vtsat_M1,A2AFT,4/8/22,SRAM
PL032S_bit_PD_R_Vtsat_M1,A29TY,4/8/22,SRAM
PL032S_bit_PG_L_Vtsat_M1,A2AFT,4/8/22,SRAM
PL032S_bit_PG_R_Vtsat_M1,A29TY,4/8/22,SRAM
PL032S_bit_PD_R_Vtlin_M1,A29TY,4/8/22,SRAM
PL032S_bit_PG_R_Vtlin_M1,A2AFT,4/8/22,SRAM
PL032S_FET_PD_Vtsat_M1,A29TY,4/8/22,SRAM
PL032S_FET_PG_Vtsat_M1,A2AFT,4/8/22,SRAM
PL032S_FET_PD_Vtlin_M1,A2AFT,4/8/22,SRAM
PL032S_FET_PG_Vtlin_M1,A2AFT,4/8/22,SRAM
