parameter,lot_id,date,Owner
vchnA_V0_DUT4_RES_LT,A29TV,6/14/22,BEOL
vchnB_V0_DUT4_RES_LT,A29TV,6/14/22,BEOL
vchnA_V0_DUT5_RES_LT,A29TV,6/14/22,BEOL
vchnB_V0_DUT5_RES_LT,A29TV,6/14/22,BEOL
vchnB_V0_DUT6_RES_LT,A29TV,6/14/22,BEOL
,,,
G1_wide_860_4pt~Res_LT,A29TV,6/14/22,BEOL
9T_M1_Cshape_4pt~Res_LT,A29TV,6/14/22,BEOL
,,,
UP_NBTI_PID_6X_08_PreVt_LT,A2A1B,6/9/22,REL
,,,
SGN_PBTI_08_40F_U_SHIFT1_LT,A2A1B,6/9/22,REL
SGN_PBTI_08_40F_U_SHIFT2_LT,A2A1B,6/9/22,REL
,,,
9T_M1PWR_4pt~Res_LT,A29PT,6/8/22,BEOL
,,,
H3_BEOLCAP_vertical_C0_LT,A29PT,6/8/22,BEOL
H4_BEOLCAP_lateral_C0_LT,A29PT,6/8/22,BEOL
H4_BEOLCAP_total_C0_LT,A29PT,6/8/22,BEOL
,,,
CMBSRP_D8_DUT1_RES_LT,A29PT,6/8/22,BEOL
,,,
METAL_KELVIN_H4_LT,A29PT,6/8/22,BEOL
,,,
M1PWR_w42s18_4pt~Res_LT,A29PT,6/8/22,BEOL
M1PWR_w42s22_4pt~Res_LT,A29PT,6/8/22,BEOL
M1PWR_w42s24_4pt~Res_LT,A29PT,6/8/22,BEOL
M1PWR_w42s26_4pt~Res_LT,A29PT,6/8/22,BEOL
,,,
P032_bl_res_LT,A29PT,6/8/22,SRAM
PL032S_bl_res_LT,A29PT,6/8/22,SRAM
TPLL053_RP_bl_res_LT,A29PT,6/8/22,SRAM
,,,
DLW_N_EG_200_280_DDB_4_Vtsat@1.8V_LT,A29PT,6/8/22,Device
DLW_N_EG_200_280_DDB_4_Vta@0.9V_LT,A29PT,6/8/22,Device
DLW_N_EGV_100_180_DDB_4_Vtsat@1.5V_LT,A29PT,6/8/22,Device
DLW_N_EGV_100_180_DDB_4_Vta@0.75V_LT,A29PT,6/8/22,Device
DLW_N_LVT_200_280_DDB_4_Ioffs@0.75V_LT,A29PT,6/8/22,Device
DLW_N_LVT_150_230_DDB_4_Vtlin_LT,A29PT,6/8/22,Device
DLW_N_LVT_100_180_DDB_4_Ssat_LT,A29PT,6/8/22,Device
,,,
PUL9T4FMDBREF~Rodlin4_100n_LT,A29UC,6/8/22,Device
,,,
CMBSRP_H4_V_DUT4_RES_LT,A29PT,6/8/22,BEOL
CMBSRP_H4_V_DUT3_RES_LT,A29PT,6/8/22,BEOL
CMBSRP_H4_V_DUT2_RES_LT,A29PT,6/8/22,BEOL
CMBSRP_H4_V_DUT1_RES_LT,A29PT,6/8/22,BEOL
CMBSRP_G1_H_DUT2_RES_LT,A29PT,6/8/22,BEOL
CMBSRP_D8_DUT4_RES_LT,A29PT,6/8/22,BEOL
CMBSRP_B2_V_DUT3_RES_LT,A29PT,6/8/22,BEOL
CMBSRP_B2_V_DUT2_RES_LT,A29PT,6/8/22,BEOL
,,,
P10_VMA_BG_y100MA~Short_LT,A29PT,6/8/22,BEOL
,,,
QMETAL_D8~BV_LT,A2967,5/24/22,REL
QVIACHN_MD_M4~BV_LT,A2967,5/24/22,REL
,,,
EGP_NBTI_150_20F_Ref_ID_LT,A2967,5/24/22,REL
UN_PBTI_PID_6X_08_Ref_ID_LT,A2967,5/24/22,REL
UP_NBTI_PID_6X_08_Ref_ID_LT,A2967,5/24/22,REL
SGN_PBTI_08_40F_U_PreVt_LT,A2967,5/24/22,REL
SGN_PBTI_08_40F_U_Ref_ID_LT,A2967,5/24/22,REL
SGP_NBTI_08_40F_U_PreVt_LT,A2967,5/24/22,REL
SGP_NBTI_08_40F_U_Ref_ID_LT,A2967,5/24/22,REL
SGP_NBTI_150_08_40F_U_Ref_ID_LT,A2967,5/24/22,REL
SGP_NBTI_150_08_40F_U_SHIFT2_LT,A2967,5/24/22,REL
,,,
VCHN_HB_chn1_RES_LT,A2967,5/23/22,BEOL
VCHN_HB_chn2_RES_LT,A2967,5/23/22,BEOL
,,,
VNCAP_D5_D8_40_65_DUT1_LT,A2967,5/23/22,BEOL
VNCAP_D5_D8_40_65_DUT2_LT,A2967,5/23/22,BEOL
VNCAP_M2_D8_40_48_DUT1_LT,A2967,5/23/22,BEOL
VNCAP_M2_D8_40_48_DUT2_LT,A2967,5/23/22,BEOL
,,,
ISOVIA_ISO_HB_LT,A2967,5/23/22,BEOL
,,,
NUL9T4FMDBREF~Rodlin4_100n_LT,A2967,5/23/22,Device
NSL9T4FMDBREF~Rodlin4_100n_LT,A2967,5/23/22,Device
NL9T4FMDBREF~Rodlin4_100n_LT,A2967,5/23/22,Device
,,,
vchnB_V2_DUT4_RES_LT,A2967,5/23/22,BEOL
vchnA_V2_DUT5_RES_LT,A2967,5/23/22,BEOL
vchnA_V2_DUT6_RES_LT,A2967,5/23/22,BEOL
vchnB_V2_DUT6_RES_LT,A2967,5/23/22,BEOL
,,,
ISOVIA_PAB_V2_Res_LT,A2967,5/23/22,BEOL
,,,
BEOL_STK_HB_kelvin~Res_LT,A2AC6,5/22/22,BEOL
,,,
egncap_0.15_Ig@Vgd=1.8V_LT,A2AC6,5/22/22,Device
,,,
P10_VMA_HB_m56MA~Short_LT,A2AC6,5/22/22,BEOL
P10_VMA_HBiso_m64MA~Short_LT,A2AC6,5/22/22,BEOL
,,,
WireRes_H4_3W3S_Res_LT,A29YZ,5/20/22,BEOL
,,,
ISOVIA_ISO_Y1_LT,A29WB,5/20/22,BEOL
,,,
9T_V0RTGT_e_4pt~Res_LT,A29WB,5/20/22,BEOL
,,,
P032_bit_PU_R_Vtlin_LT,A29WB,5/20/22,SRAM
P032_bit_PU_R_Vtsat_LT,A29WB,5/20/22,SRAM
P032_1b_PU_Vtsat_avg_LT,A29WB,5/20/22,SRAM
P032_4FET_PU_Isoff_LT,A29WB,5/20/22,SRAM
P032_FET_PU_Idoff_LT,A29WB,5/20/22,SRAM
PL032S_SNM_LT,A29WB,5/20/22,SRAM
,,,
DLW_P_EG_200_280_DDB_4_Ihigh@1.8V_LT,A29YZ,5/20/22,Device
DLW_P_EG_200_280_DDB_4_Idlin_LT,A29YZ,5/20/22,Device
DLW_P_EG_150_230_DDB_4_Ihigh@1.8V_LT,A29YZ,5/20/22,Device
DLW_P_EG_150_230_DDB_4_Idlin_LT,A29YZ,5/20/22,Device
,,,
PUL9T4FMDBREF~Rext3_LT,A29WB,5/20/22,Device
PL9T4FMDBREF~Rext3_LT,A29WB,5/20/22,Device
,,,
NUL9T4FMDBREF~Rext3_LT,A29WB,5/20/22,Device
NSL9T4FMDBREF~Rext3_LT,A29WB,5/20/22,Device
NL9T4FMDBREF~Rext3_LT,A29WB,5/20/22,Device
,,,
PL9T4FMDBREF~Rodlin4_100n_LT,A293H,5/19/22,Device
,,,
QMETAL_M1_LKG~Lk_LT,A29PR,5/19/22,REL
QMETAL_M3_LKG~Lk_LT,A29PR,5/19/22,REL
,,,
EP_HCI_stress_ileak_IB_LT,A29PR,5/19/22,REL
,,,
UN_PBTI_PID_6X_08_SHIFT1_LT,A29PR,5/19/22,REL
UN_PBTI_PID_6X_08_SHIFT2_LT,A29PR,5/19/22,REL
,,,
SGP_NBTI_08_40F_U_Slope_LT,A29PR,5/19/22,REL
SGP_NBTI_150_08_40F_U_PreVt_LT,A29PR,5/19/22,REL
,,,
SP_HCI_before_lin_LT,A29PR,5/19/22,REL
SP_HCI_before_lin_095_LT,A29PR,5/19/22,REL
SP_HCI_after_lin_095_LT,A29PR,5/19/22,REL
,,,
9T_M3PWR_4pt~Res_LT,A29PR,5/18/22,BEOL
9T_M3signal_4pt~Res_LT,A29PR,5/18/22,BEOL
,,,
vchnA_V0_DUT1_RES_LT,A29PR,5/18/22,BEOL
vchnB_V0_DUT1_RES_LT,A29PR,5/18/22,BEOL
,,,
VCHN_Y1_chn1_RES_LT,A29PR,5/18/22,BEOL
VCHN_Y1_chn2_RES_LT,A29PR,5/18/22,BEOL
,,,
CMBSRP_M3_DUT8_RES_LT,A29PR,5/18/22,BEOL
CMBSRP_M3_DUT7_RES_LT,A29PR,5/18/22,BEOL
CMBSRP_M3_DUT6_RES_LT,A29PR,5/18/22,BEOL
CMBSRP_M3_DUT5_RES_LT,A29PR,5/18/22,BEOL
CMBSRP_M3_DUT3_RES_LT,A29PR,5/18/22,BEOL
CMBSRP_M3_DUT2_RES_LT,A29PR,5/18/22,BEOL
CMBSRP_M3_DUT1_RES_LT,A29PR,5/18/22,BEOL
CMBSRP_M1_DUT8_RES_LT,A29PR,5/18/22,BEOL
CMBSRP_M1_DUT7_RES_LT,A29PR,5/18/22,BEOL
CMBSRP_M1_DUT6_RES_LT,A29PR,5/18/22,BEOL
CMBSRP_M1_DUT5_RES_LT,A29PR,5/18/22,BEOL
,,,
METAL_KELVIN_M1_Vertical_LT,A29PR,5/18/22,BEOL
METAL_KELVIN_M1_Horizental_LT,A29PR,5/18/22,BEOL
METAL_KELVIN_M3_LT,A29PR,5/18/22,BEOL
,,,
M3PWR_w36s21_4pt~Res_LT,A29PR,5/18/22,BEOL
